placeholder,id,Country,PLFC,FL
placeholder,USA,United States,1,0.2550488
placeholder,CHN,China,0.112908447,1
placeholder,BRA,Brazil,0.468894746,0.947848022
placeholder,IND,India,0.070286054,0.553238057
placeholder,THA,Thailand,0.026278976,0.036080942
placeholder,IDN,Indonesia,0,0.32351031
placeholder,RUS,Russia ,0.010137406,0.018558744
placeholder,JPN,Japan,0.005399482,0
placeholder,DEU,European Union,0.123608517,0.229588317
placeholder,AUT,European Union,0.123608517,0.229588317
placeholder,BEL,European Union,0.123608517,0.229588317
placeholder,BGR,European Union,0.123608517,0.229588317
placeholder,HRV,European Union,0.123608517,0.229588317
placeholder,CYP,European Union,0.123608517,0.229588317
placeholder,CZE,European Union,0.123608517,0.229588317
placeholder,DNK,European Union,0.123608517,0.229588317
placeholder,EST,European Union,0.123608517,0.229588317
placeholder,FIN,European Union,0.123608517,0.229588317
placeholder,FRA,European Union,0.123608517,0.229588317
placeholder,SWE,European Union,0.123608517,0.229588317
placeholder,GRC,European Union,0.123608517,0.229588317
placeholder,HUN,European Union,0.123608517,0.229588317
placeholder,IRL,European Union,0.123608517,0.229588317
placeholder,ITA,European Union,0.123608517,0.229588317
placeholder,LVA,European Union,0.123608517,0.229588317
placeholder,LTU,European Union,0.123608517,0.229588317
placeholder,LUX,European Union,0.123608517,0.229588317
placeholder,MLT,European Union,0.123608517,0.229588317
placeholder,NLD,European Union,0.123608517,0.229588317
placeholder,POL,European Union,0.123608517,0.229588317
placeholder,PRT,European Union,0.123608517,0.229588317
placeholder,ROU,European Union,0.123608517,0.229588317
placeholder,SVK,European Union,0.123608517,0.229588317
placeholder,SVN,European Union,0.123608517,0.229588317
placeholder,ESP,European Union,0.123608517,0.229588317
